SG_UF,NM_MUNICIPIO,num_eleitores,perc_lula,perc_votos_mulheres_fed,perc_votos_mulheres_est,perc_votos_mulheres_total
CE,ASSARÉ,29262.0,84.31,13.98,4.97,9.48
BA,CARAVELAS,24270.0,57.22,7.74,11.19,9.46
BA,SENTO SÉ,45800.0,71.0,8.01,10.92,9.46
PI,AROAZES,8924.0,86.14,11.36,7.55,9.46
PI,BETÂNIA DO PIAUÍ,9110.0,92.45,15.74,3.18,9.46
RN,IELMO MARINHO,18154.0,61.28,12.4,6.49,9.45
RS,CACEQUI,13426.0,52.29,5.24,13.6,9.42
PE,SANHARÓ,25610.0,75.23,3.99,14.83,9.41
MG,ROSÁRIO DA LIMEIRA,8226.0,66.12,6.32,12.5,9.41
PE,PALMARES,63026.0,65.44,11.73,7.07,9.4
MG,ITAOBIM,23348.0,56.72,15.25,3.51,9.38
RN,GROSSOS,15118.0,66.91,10.2,8.55,9.37
PB,CONGO,8790.0,72.26,18.04,0.71,9.37
RN,SERRA DE SÃO BENTO,8974.0,63.42,16.09,2.63,9.36
PI,PEDRO II,49922.0,72.9,12.29,6.43,9.36
BA,MUQUÉM DO SÃO FRANCISCO,14820.0,73.61,15.13,3.56,9.35
AM,JAPURÁ,6778.0,61.13,4.04,14.67,9.35
SE,SIMÃO DIAS,58500.0,71.75,14.26,4.43,9.34
PE,CAETÉS,29384.0,89.0,9.75,8.92,9.34
BA,CAPIM GROSSO,37838.0,61.7,13.61,5.07,9.34
BA,SOBRADINHO,31128.0,73.05,8.18,10.48,9.33
MG,GONZAGA,6264.0,56.19,2.81,15.84,9.32
BA,CANUDOS,20360.0,82.99,8.45,10.19,9.32
BA,CALDEIRÃO GRANDE,15720.0,75.23,11.02,7.62,9.32
RS,SÃO SEPÉ,27880.0,52.18,12.78,5.86,9.32
BA,SANTALUZ,50180.0,71.94,14.92,3.69,9.31
CE,CARIÚS,24680.0,82.57,13.16,5.45,9.3
PE,GOIANA,104630.0,59.84,11.77,6.8,9.29
MG,VISCONDE DO RIO BRANCO,48666.0,52.43,5.84,12.71,9.28
RS,LIBERATO SALZANO,7154.0,53.34,2.24,16.33,9.28
MG,FRONTEIRA DOS VALES,6100.0,80.71,3.57,14.98,9.28
BA,UAUÁ,34218.0,83.67,12.96,5.61,9.28
MG,MONTE AZUL,27614.0,55.66,13.54,4.98,9.26
MS,NOVO HORIZONTE DO SUL,5988.0,50.23,8.58,9.92,9.25
MG,SÃO JOSÉ DO GOIABAL,6930.0,64.77,14.17,4.33,9.25
BA,PARAMIRIM,26570.0,77.49,10.95,7.55,9.25
PE,LAGOA GRANDE,32190.0,74.81,4.31,14.17,9.24
BA,BRUMADO,86418.0,67.34,9.45,9.03,9.24
MG,ARINOS,19292.0,52.9,8.97,9.52,9.24
BA,JOÃO DOURADO,29628.0,62.79,10.23,8.25,9.24
PB,BARRA DE SANTA ROSA,17320.0,76.15,16.48,1.97,9.23
MA,LIMA CAMPOS,16776.0,66.14,11.58,6.88,9.23
PE,BODOCÓ,41224.0,87.15,3.98,14.49,9.23
MG,DORES DE GUANHÃES,7428.0,60.49,5.25,13.17,9.21
CE,ITAPIÚNA,25786.0,72.65,11.63,6.75,9.19
PE,PASSIRA,41438.0,66.23,12.81,5.54,9.18
PI,PAULISTANA,26592.0,83.69,8.51,9.86,9.18
PI,BOQUEIRÃO DO PIAUÍ,8452.0,81.26,6.06,12.28,9.17
PB,TAPEROÁ,16768.0,80.16,8.54,9.79,9.17
BA,SÃO GONÇALO DOS CAMPOS,48656.0,76.27,9.52,8.81,9.17
PI,REGENERAÇÃO,21150.0,85.13,13.15,5.18,9.17
BA,CURAÇÁ,41738.0,79.46,8.81,9.5,9.16
RN,PILÕES,5598.0,84.65,15.51,2.79,9.15
CE,MARTINÓPOLE,17052.0,83.11,16.82,1.44,9.13
PE,GAMELEIRA,23488.0,69.26,14.29,3.98,9.13
BA,BARRO ALTO,17326.0,82.27,6.51,11.74,9.13
MA,MATINHA,30624.0,72.66,10.46,7.78,9.12
PI,ARRAIAL,6740.0,79.18,5.19,13.06,9.12
PI,SÃO MIGUEL DO FIDALGO,4608.0,88.07,16.32,1.91,9.11
RS,SÃO NICOLAU,6704.0,56.15,6.38,11.84,9.11
BA,MAIQUINIQUE,11526.0,61.61,5.19,13.01,9.1
BA,TUCANO,62954.0,76.99,7.4,10.79,9.1
PE,CAPOEIRAS,23530.0,87.04,4.28,13.91,9.09
MG,PEDRA AZUL,24536.0,57.27,14.18,4.01,9.09
PI,VÁRZEA GRANDE,6132.0,82.26,5.45,12.72,9.08
MG,CENTRALINA,11648.0,59.12,14.77,3.4,9.08
BA,SÃO MIGUEL DAS MATAS,15420.0,75.1,15.75,2.39,9.07
MG,BRÁS PIRES,6484.0,55.96,2.59,15.55,9.07
BA,PILÃO ARCADO,42922.0,82.0,10.2,7.92,9.06
MG,CAPITÃO ENÉAS,18850.0,67.22,3.09,15.01,9.05
BA,NORDESTINA,15644.0,79.99,10.79,7.3,9.05
PE,TIMBAÚBA,67780.0,63.06,14.71,3.34,9.03
RN,RAFAEL FERNANDES,8154.0,79.65,15.01,2.99,9.0
MG,CATUJI,11440.0,69.81,2.2,15.8,9.0
MG,CONCEIÇÃO DO MATO DENTRO,26564.0,62.37,10.63,7.38,9.0
BA,CANARANA,31572.0,78.82,6.89,11.09,8.99
PI,SANTA CRUZ DOS MILAGRES,5446.0,85.94,13.66,4.3,8.98
BA,JAGUARARI,35214.0,72.64,4.45,13.51,8.98
CE,TURURU,24290.0,71.35,6.38,11.54,8.96
PA,TERRA SANTA,21836.0,55.52,14.38,3.54,8.96
PE,AFRÂNIO,27546.0,75.83,3.84,14.08,8.96
MG,SÃO FRANCISCO DE SALES,7304.0,57.56,3.42,14.49,8.95
BA,QUIJINGUE,33438.0,77.99,3.15,14.75,8.95
MG,SENADOR FIRMINO,10538.0,60.43,4.21,13.66,8.94
PI,SÃO MIGUEL DA BAIXA GRANDE,3994.0,75.9,9.61,8.26,8.94
BA,PRESIDENTE DUTRA,19464.0,88.4,7.57,10.28,8.92
BA,BOM JESUS DA LAPA,76282.0,74.49,12.99,4.82,8.9
MG,FELIXLÂNDIA,17362.0,50.63,5.94,11.84,8.89
PB,MARIZÓPOLIS,10318.0,68.07,5.91,11.84,8.88
TO,RIACHINHO,5822.0,53.71,15.56,2.16,8.86
CE,BREJO SANTO,58310.0,78.71,16.02,1.68,8.85
PI,ELESBÃO VELOSO,19666.0,82.08,12.43,5.28,8.85
PI,PAVUSSU,5918.0,88.51,7.33,10.34,8.84
MA,HUMBERTO DE CAMPOS,35204.0,79.56,8.4,9.27,8.83
PI,GEMINIANO,10314.0,83.93,14.1,3.57,8.83
MA,NOVA IORQUE,6138.0,81.71,8.05,9.61,8.83
TO,MAURILÂNDIA DO TOCANTINS,5196.0,75.18,9.89,7.78,8.83
RS,SETE DE SETEMBRO,3072.0,50.67,2.8,14.84,8.82
BA,ACAJUTIBA,18444.0,73.48,7.21,10.42,8.82
PE,SÃO CAITANO,50710.0,74.27,9.51,8.13,8.82
SP,QUELUZ,10208.0,50.56,8.72,8.91,8.82
PB,SÃO MIGUEL DE TAIPU,10152.0,56.62,8.77,8.85,8.81
BA,CACULÉ,28998.0,69.58,12.37,5.22,8.8
PI,BAIXA GRANDE DO RIBEIRO,16830.0,67.61,6.79,10.79,8.79
RS,VISTA GAÚCHA,4382.0,54.59,4.15,13.42,8.79
MG,RIO PIRACICABA,19100.0,52.82,9.49,8.09,8.79
CE,GUARAMIRANGA,9844.0,71.15,11.93,5.65,8.79
AM,ENVIRA,15062.0,69.55,2.11,15.44,8.78
PR,NOVA LARANJEIRAS,12898.0,55.33,7.51,10.06,8.78
AM,ANORI,16408.0,54.31,2.91,14.64,8.78
SP,FRANCISCO MORATO,177523.0,54.84,8.66,8.87,8.77
PB,CAIÇARA,9746.0,69.3,8.6,8.93,8.76
BA,UBAÍRA,24820.0,69.92,14.87,2.66,8.76
MG,NOVA UNIÃO,8522.0,55.05,5.23,12.27,8.75
MG,BELMIRO BRAGA,4894.0,70.3,10.5,6.99,8.75
RS,JACUIZINHO,3378.0,55.19,1.6,15.87,8.73
PI,COCAL DE TELHA,6932.0,86.41,3.26,14.2,8.73
BA,SANTA INÊS,12146.0,83.2,12.84,4.61,8.73
PA,ALMEIRIM,35358.0,65.87,10.27,7.16,8.72
PE,ARAÇOIABA,27628.0,68.09,10.76,6.66,8.71
PR,ARAPUÃ,5276.0,52.38,6.86,10.54,8.7
PB,GURJÃO,5220.0,79.37,11.65,5.71,8.68
PI,JERUMENHA,7426.0,79.12,3.93,13.41,8.67
PE,SERTÂNIA,38600.0,83.1,12.11,5.22,8.67
RS,ALTO ALEGRE,3044.0,51.43,5.12,12.22,8.67
BA,ANDORINHA,20328.0,91.25,8.51,8.81,8.66
RN,PARAZINHO,8418.0,65.16,10.17,7.15,8.66
RN,TRIUNFO POTIGUAR,6716.0,67.52,14.62,2.68,8.65
SE,TELHA,5974.0,54.3,3.75,13.56,8.65
SE,FREI PAULO,21516.0,56.12,8.53,8.72,8.63
RN,VÁRZEA,8156.0,56.9,7.97,9.27,8.62
PR,RIBEIRÃO DO PINHAL,15932.0,54.26,11.52,5.71,8.62
CE,TAMBORIL,34016.0,76.68,14.35,2.89,8.62
PR,SÃO JOÃO DO CAIUÁ,7562.0,59.8,9.63,7.62,8.62
PB,ITAPOROROCA,21784.0,73.6,6.6,10.62,8.61
MG,PRATA,32356.0,50.66,11.98,5.25,8.61
MG,JENIPAPO DE MINAS,7418.0,72.5,3.59,13.64,8.61
TO,PRAIA NORTE,8626.0,56.68,15.95,1.25,8.6
PB,BONITO DE SANTA FÉ,11960.0,72.06,10.22,6.99,8.6
PI,MONTE ALEGRE DO PIAUÍ,14116.0,82.74,10.36,6.83,8.59
MG,BRASILÂNDIA DE MINAS,17926.0,53.35,5.48,11.68,8.58
AL,FEIRA GRANDE,27940.0,75.84,2.17,14.99,8.58
RN,BENTO FERNANDES,8090.0,76.75,13.5,3.63,8.57
PI,SÃO LUIS DO PIAUÍ,4628.0,80.71,16.38,0.73,8.56
PE,RIBEIRÃO,44760.0,65.2,13.62,3.49,8.56
MG,LASSANCE,8408.0,62.57,10.85,6.28,8.56
BA,ITAJUÍPE,25950.0,63.71,9.13,7.99,8.56
RS,ROLADOR,3904.0,55.11,4.2,12.91,8.56
MG,BARÃO DE MONTE ALTO,8622.0,58.19,8.86,8.23,8.55
BA,CARDEAL DA SILVA,11604.0,84.26,7.74,9.36,8.55
MG,GUARANÉSIA,23514.0,56.08,6.14,10.96,8.55
BA,TAPEROÁ,22124.0,73.37,9.53,7.56,8.54
MG,PEQUERI,5074.0,52.73,9.03,8.04,8.53
BA,PONTO NOVO,20972.0,75.05,16.2,0.86,8.53
PE,ITAPISSUMA,32718.0,65.2,9.33,7.7,8.52
RS,SAGRADA FAMÍLIA,3724.0,51.94,7.63,9.34,8.49
PB,SÃO VICENTE DO SERIDÓ,14104.0,74.07,13.32,3.67,8.49
PB,SANTO ANDRÉ,4700.0,69.97,7.11,9.87,8.49
MG,DESCOBERTO,7168.0,54.9,7.84,9.12,8.48
PE,DORMENTES,25830.0,73.15,4.24,12.71,8.47
PE,TAQUARITINGA DO NORTE,34924.0,52.4,14.12,2.82,8.47
MG,FREI INOCÊNCIO,9870.0,55.07,2.96,13.96,8.46
BA,PÉ DE SERRA,19070.0,60.94,6.94,9.96,8.45
BA,REMANSO,49570.0,79.67,11.3,5.57,8.44
MG,BONFINÓPOLIS DE MINAS,7176.0,51.84,9.78,7.08,8.43
BA,SÃO JOSÉ DA VITÓRIA,7566.0,57.71,4.49,12.34,8.42
MG,SALINAS,48090.0,57.18,5.11,11.73,8.42
BA,RIO DO ANTÔNIO,17044.0,78.62,7.23,9.61,8.42
RN,MESSIAS TARGINO,7656.0,76.02,7.11,9.74,8.42
PE,CHÃ GRANDE,30870.0,63.34,12.99,3.83,8.41
PR,MARUMBI,6414.0,55.98,15.47,1.34,8.4
PI,MILTON BRANDÃO,9958.0,56.3,7.81,8.98,8.4
CE,ARACOIABA,41090.0,69.52,7.11,9.69,8.4
TO,ARAGUANÃ,5778.0,50.24,6.61,10.18,8.39
SE,CANINDÉ DE SÃO FRANCISCO,35146.0,74.58,6.53,10.25,8.39
MG,ROMARIA,5228.0,63.51,4.82,11.94,8.38
BA,CAPELA DO ALTO ALEGRE,15052.0,72.18,7.12,9.62,8.37
CE,URUBURETAMA,29598.0,69.83,5.62,11.13,8.37
ES,PINHEIROS,27680.0,56.02,9.1,7.64,8.37
TO,BARRA DO OURO,5820.0,67.72,7.15,9.55,8.35
MG,AUGUSTO DE LIMA,5956.0,59.02,9.5,7.19,8.34
PE,SANTA CRUZ,20250.0,88.04,2.04,14.6,8.32
PB,OLIVEDOS,6546.0,69.32,8.07,8.52,8.3
PB,LIVRAMENTO,9148.0,77.5,2.34,14.25,8.3
MG,CARMO DA CACHOEIRA,14532.0,50.1,6.06,10.53,8.29
AL,JACUÍPE,8826.0,61.84,2.11,14.48,8.29
MG,SÃO GONÇALO DO RIO PRETO,4232.0,74.26,6.57,10.02,8.29
PI,SIMÕES,18778.0,84.34,7.42,9.13,8.28
RN,ENCANTO,7946.0,82.28,9.39,7.17,8.28
MA,BURITI BRAVO,26092.0,83.3,3.85,12.69,8.27
BA,ARACI,59560.0,82.59,15.15,1.38,8.27
TO,ARAGOMINAS,7270.0,59.23,7.07,9.46,8.27
PB,SERTÃOZINHO,7082.0,73.24,2.51,14.01,8.26
PI,DIRCEU ARCOVERDE,9874.0,87.32,12.94,3.59,8.26
PB,CAJAZEIRINHAS,6128.0,82.34,11.29,5.22,8.26
SE,NOSSA SENHORA APARECIDA,12142.0,55.64,6.67,9.83,8.25
PE,AFOGADOS DA INGAZEIRA,44886.0,74.25,8.18,8.31,8.24
RN,PORTO DO MANGUE,8032.0,80.38,11.78,4.68,8.23
AL,ANADIA,18050.0,73.32,1.83,14.6,8.22
RN,LAGOA D ANTA,9214.0,73.65,7.94,8.49,8.22
PB,PICUÍ,24542.0,67.13,14.98,1.45,8.21
BA,SENHOR DO BONFIM,83452.0,61.1,8.92,7.47,8.2
AL,COLÔNIA LEOPOLDINA,21624.0,52.15,1.44,14.96,8.2
PE,PESQUEIRA,76482.0,79.71,7.13,9.28,8.2
RN,CAMPO REDONDO,13620.0,83.1,11.63,4.73,8.18
MS,MIRANDA,29308.0,53.28,9.94,6.39,8.16
BA,LAMARÃO,12008.0,84.76,10.01,6.3,8.15
BA,NOVA FÁTIMA,12324.0,66.8,7.01,9.3,8.15
AL,SANTANA DO IPANEMA,50208.0,69.83,1.91,14.4,8.15
PI,PIRIPIRI,77832.0,71.38,7.15,9.16,8.15
AM,JUTAÍ,18974.0,73.33,6.68,9.6,8.14
RS,ESPERANÇA DO SUL,5116.0,61.53,3.6,12.67,8.13
SP,ITAPIRAPUÃ PAULISTA,4512.0,52.73,4.47,12.36,8.13
AM,EIRUNEPÉ,29060.0,70.03,2.19,14.07,8.13
CE,RUSSAS,95526.0,66.9,6.16,10.09,8.12
MG,PIRAÚBA,15240.0,51.43,4.49,11.76,8.12
AL,MONTEIRÓPOLIS,8654.0,69.57,0.76,15.48,8.12
SE,TOMAR DO GERU,15128.0,66.2,5.95,10.3,8.12
MS,DOIS IRMÃOS DO BURITI,12710.0,55.47,7.68,8.56,8.12
SE,GARARU,14944.0,79.42,5.39,10.83,8.11
MG,NAZARENO,10576.0,59.63,5.67,10.53,8.1
PI,CAMPO GRANDE DO PIAUÍ,8170.0,81.66,8.15,8.05,8.1
PE,IBIRAJUBA,10894.0,79.38,8.28,7.91,8.1
BA,IBICARAÍ,28826.0,59.55,7.38,8.8,8.09
BA,SAUBARA,19946.0,75.55,8.32,7.83,8.08
PB,ITAPORANGA,26766.0,75.42,4.57,11.6,8.08
BA,IBIRAPITANGA,20858.0,70.27,10.61,5.52,8.07
MG,MIRADOURO,13150.0,56.5,3.29,12.84,8.06
RS,PIRATINI,23790.0,51.96,6.89,9.21,8.05
CE,IPU,51580.0,75.09,13.06,3.05,8.05
PB,QUEIMADAS,58082.0,67.97,6.29,9.79,8.04
RN,SERRINHA,11002.0,66.19,9.69,6.36,8.03
BA,CORIBE,19228.0,69.38,3.95,12.1,8.02
MG,CAMPANÁRIO,4542.0,64.49,5.55,10.48,8.01
MG,FERROS,12366.0,68.31,8.15,7.86,8.01
BA,TANHAÇU,28862.0,73.02,5.74,10.28,8.01
RS,CANDIOTA,12864.0,59.19,7.11,8.91,8.01
TO,AUGUSTINÓPOLIS,20124.0,54.48,10.15,5.84,8.0
PI,BELA VISTA DO PIAUÍ,6162.0,75.0,13.76,2.24,8.0
MG,SANTA BÁRBARA,38420.0,60.35,10.57,5.4,7.99
RS,RIO GRANDE,235372.0,59.65,8.71,7.27,7.99
MG,MIRAVÂNIA,5244.0,80.99,12.97,3.01,7.99
PI,PARNAGUÁ,11354.0,81.28,6.01,9.95,7.98
SE,POÇO REDONDO,33132.0,75.95,7.01,8.93,7.97
MG,CAMPO AZUL,5682.0,76.7,1.8,14.15,7.97
SP,ARAPEÍ,3090.0,55.92,6.13,9.96,7.96
CE,CAPISTRANO,26134.0,77.53,9.71,6.21,7.96
CE,MERUOCA,20774.0,76.1,7.99,7.9,7.95
MG,ITINGA,15498.0,74.46,9.32,6.58,7.95
MG,DOM SILVÉRIO,6934.0,60.27,7.73,8.16,7.95
PI,IPIRANGA DO PIAUÍ,12132.0,82.95,10.86,5.01,7.94
MG,BERIZAL,6258.0,61.11,11.15,4.73,7.94
PE,SÃO JOSÉ DA COROA GRANDE,24414.0,55.47,10.74,5.12,7.93
PE,BEZERROS,78430.0,68.11,7.48,8.37,7.92
MG,POTÉ,16962.0,51.31,8.8,7.05,7.92
MG,SANTA BÁRBARA DO TUGÚRIO,7056.0,66.2,5.78,10.06,7.92
MG,SANTO ANTÔNIO DO RIO ABAIXO,3058.0,53.12,8.63,7.19,7.91
PE,VERTENTE DO LÉRIO,12586.0,77.22,14.44,1.37,7.91
MG,CANTAGALO,5226.0,72.79,3.87,11.94,7.9
MA,CODÓ,116430.0,73.14,10.94,4.82,7.88
BA,CIPÓ,21420.0,64.58,5.15,10.59,7.87
BA,UTINGA,19554.0,75.33,8.38,7.34,7.86
RS,PEDRAS ALTAS,3128.0,54.08,9.97,5.75,7.86
BA,IBOTIRAMA,32992.0,67.66,10.64,5.07,7.86
PB,ALAGOA GRANDE,34540.0,71.66,9.26,6.44,7.85
CE,AURORA,31148.0,82.99,6.95,8.73,7.84
AL,PAULO JACINTO,9868.0,63.2,3.87,11.82,7.84
RS,MIRAGUAÍ,7116.0,53.8,3.43,12.23,7.83
PB,SOLEDADE,18370.0,69.64,9.47,6.19,7.83
BA,MACARANI,19462.0,53.51,6.23,9.4,7.82
RS,SÃO FRANCISCO DE ASSIS,23616.0,50.58,5.78,9.84,7.81
MG,JAÍBA,38444.0,55.76,5.6,10.01,7.81
BA,BONITO,19582.0,81.36,12.16,3.46,7.81
BA,GANDU,36748.0,58.78,8.78,6.83,7.8
PR,NOVA CANTU,9506.0,51.64,4.31,11.28,7.8
MG,SÃO THOMÉ DAS LETRAS,7978.0,58.14,6.37,9.23,7.8
MG,GRÃO MOGOL,16664.0,70.15,3.68,11.92,7.8
MG,ENTRE RIOS DE MINAS,20036.0,51.48,5.65,9.92,7.79
PB,ITABAIANA,31482.0,60.73,9.37,6.22,7.79
RN,PEDRA PRETA,5414.0,67.85,10.38,5.21,7.79
BA,LAJE,31528.0,68.9,11.84,3.72,7.78
BA,ÁGUA FRIA,19512.0,80.45,4.93,10.64,7.78
MA,ESPERANTINÓPOLIS,22096.0,71.99,9.05,6.48,7.77
CE,MADALENA,22822.0,81.86,11.59,3.93,7.76
PE,CALÇADO,12552.0,84.79,6.53,8.99,7.76
GO,GUARINOS,3740.0,63.46,12.89,2.57,7.73
MG,FORTUNA DE MINAS,4542.0,62.12,3.7,11.76,7.73
AL,VIÇOSA,31554.0,62.63,4.39,11.05,7.72
TO,PORTO ALEGRE DO TOCANTINS,3534.0,64.1,2.83,12.62,7.72
MA,COLINAS,42760.0,77.04,8.74,6.68,7.71
AL,CARNEIROS,10462.0,81.2,2.37,13.06,7.71
PR,CRUZEIRO DO SUL,6354.0,57.8,6.07,9.32,7.7
MG,SÃO JOÃO DO MANTENINHA,7550.0,50.47,1.64,13.75,7.7
BA,OURIÇANGAS,10924.0,80.85,6.06,9.32,7.69
PI,CAXINGÓ,9202.0,83.75,11.39,4.0,7.69
PB,SÃO MAMEDE,11138.0,70.85,5.03,10.33,7.68
BA,BARRA,55836.0,79.1,10.78,4.58,7.68
MG,BOM JESUS DO AMPARO,8040.0,53.83,6.49,8.86,7.67
AL,TRAIPU,27108.0,77.42,6.2,9.13,7.66
SE,ARAUÁ,14910.0,75.09,4.79,10.52,7.65
BA,LAJEDÃO,6640.0,57.05,6.69,8.61,7.65
PB,POÇO DANTAS,6158.0,86.9,2.89,12.37,7.63
MG,BOM JARDIM DE MINAS,9270.0,51.21,9.58,5.63,7.61
MS,TACURU,9790.0,58.09,4.41,10.79,7.6
BA,RIACHO DE SANTANA,37114.0,84.65,6.41,8.8,7.6
PI,MADEIRO,9554.0,81.35,2.39,12.79,7.59
PB,MALTA,8166.0,86.2,8.69,6.49,7.59
TO,LAGOA DO TOCANTINS,4932.0,67.24,4.46,10.71,7.58
PE,EXU,42528.0,83.39,3.23,11.93,7.58
MG,CONCEIÇÃO DAS ALAGOAS,30254.0,50.41,7.1,8.07,7.58
PB,CASSERENGUE,9336.0,79.5,3.86,11.29,7.57
AL,OLHO D ÁGUA GRANDE,7200.0,79.11,1.53,13.58,7.56
BA,RAFAEL JAMBEIRO,27578.0,72.72,13.02,2.1,7.56
BA,BANZAÊ,16584.0,69.98,5.26,9.83,7.54
BA,SÃO FÉLIX DO CORIBE,20256.0,59.12,8.41,6.66,7.54
MT,JANGADA,11168.0,53.08,10.23,4.84,7.53
MG,SANTA MARIA DO SUAÇUÍ,15734.0,58.2,2.89,12.18,7.53
AM,TONANTINS,16198.0,79.08,1.15,13.92,7.53
CE,ANTONINA DO NORTE,10458.0,84.41,12.11,2.95,7.53
PE,RIO FORMOSO,25562.0,64.84,10.84,4.19,7.52
RN,JARDIM DE ANGICOS,4922.0,78.91,11.91,3.13,7.52
MG,OLARIA,3570.0,63.06,9.75,5.27,7.51
BA,JEQUIÉ,187440.0,59.78,10.17,4.85,7.51
MG,JEQUITINHONHA,24834.0,72.63,4.73,10.29,7.51
BA,BARRO PRETO,9058.0,76.75,9.98,4.99,7.49
CE,CARIRIAÇU,38796.0,79.4,10.35,4.62,7.49
PB,AREIA,29624.0,74.18,9.38,5.58,7.48
AL,BRANQUINHA,12748.0,65.17,3.01,11.94,7.48
RN,PAU DOS FERROS,34144.0,74.48,8.99,5.97,7.48
AL,TANQUE D ARCA,7994.0,75.81,2.6,12.36,7.48
MG,ESPINOSA,36372.0,62.1,9.39,5.53,7.46
PB,LOGRADOURO,6706.0,60.44,3.37,11.54,7.46
MG,SANTA CRUZ DE SALINAS,5976.0,81.94,1.71,13.19,7.45
AL,SÃO BRÁS,10454.0,65.69,1.53,13.33,7.43
MG,SERITINGA,2974.0,58.82,4.03,10.83,7.43
PI,BARREIRAS DO PIAUÍ,5294.0,85.31,8.54,6.31,7.42
MG,LAGOA DOS PATOS,5276.0,56.58,11.41,3.41,7.41
PB,CARRAPATEIRA,3622.0,81.47,4.8,9.99,7.4
MG,ALVINÓPOLIS,20598.0,58.91,4.43,10.37,7.4
CE,JAGUARIBE,45174.0,79.41,8.42,6.37,7.39
RS,IRAÍ,9690.0,50.24,9.91,4.87,7.39
MG,UNIÃO DE MINAS,4908.0,60.67,1.63,13.08,7.36
AL,LIMOEIRO DE ANADIA,29634.0,69.6,1.84,12.88,7.36
BA,EUCLIDES DA CUNHA,72062.0,80.05,4.6,10.09,7.35
MG,BARÃO DE COCAIS,39534.0,52.22,7.83,6.86,7.35
RS,PIRAPÓ,3424.0,54.16,5.14,9.52,7.33
PE,TUPANATINGA,24938.0,79.2,13.29,1.37,7.33
BA,VEREDA,9974.0,60.94,5.19,9.46,7.33
BA,MUNIZ FERREIRA,12998.0,78.28,9.86,4.79,7.32
PE,CEDRO,15050.0,86.89,6.38,8.24,7.31
MA,SUCUPIRA DO RIACHÃO,6866.0,85.07,6.55,8.07,7.31
MG,ITAVERAVA,9316.0,58.67,2.15,12.45,7.3
MG,COROACI,11598.0,56.9,1.98,12.62,7.3
CE,JAGUARUANA,46226.0,64.1,8.74,5.84,7.29
RS,PINHEIRO MACHADO,15326.0,62.59,7.18,7.4,7.29
BA,CANÁPOLIS,13740.0,75.65,12.17,2.42,7.29
PB,DAMIÃO,7000.0,85.32,13.37,1.2,7.29
TO,CONCEIÇÃO DO TOCANTINS,4984.0,70.88,3.53,11.04,7.28
MG,BUENÓPOLIS,10684.0,53.8,6.91,7.66,7.28
MG,SANTA MARIA DE ITABIRA,13726.0,64.63,8.7,5.84,7.27
PB,GADO BRAVO,12438.0,79.08,3.81,10.71,7.26
PB,PUXINANÃ,20576.0,61.14,6.83,7.67,7.25
AL,OLHO D ÁGUA DO CASADO,10992.0,85.57,1.58,12.9,7.24
MG,CARANAÍBA,5292.0,55.39,2.15,12.32,7.24
BA,FILADÉLFIA,23354.0,69.86,3.0,11.47,7.23
CE,IRAUÇUBA,31290.0,76.64,7.15,7.31,7.23
AL,PENEDO,63078.0,59.08,8.05,6.39,7.22
CE,QUIXERAMOBIM,95088.0,76.46,7.99,6.44,7.22
AL,TAQUARANA,21236.0,74.01,4.72,9.73,7.22
MG,SENHORA DE OLIVEIRA,8638.0,70.6,5.07,9.38,7.22
AM,UARINI,13398.0,57.33,3.88,10.54,7.21
BA,MILAGRES,14326.0,62.41,11.42,3.0,7.21
MG,BRASÍLIA DE MINAS,38992.0,68.34,5.09,9.31,7.2
MG,SÃO JOÃO DA PONTE,30234.0,77.77,6.47,7.92,7.19
BA,CONCEIÇÃO DA FEIRA,28708.0,75.96,10.09,4.25,7.17
PI,FRANCINÓPOLIS,6732.0,89.2,5.38,8.97,7.17
PB,MONTEIRO,42310.0,75.52,8.94,5.4,7.17
BA,CORRENTINA,41722.0,70.93,4.64,9.71,7.17
MA,BACABAL,107410.0,61.45,9.13,5.19,7.16
PR,LINDOESTE,7992.0,56.36,11.31,3.0,7.16
PE,ALTINHO,27640.0,74.76,11.38,2.94,7.16
PB,SERRA DA RAIZ,4902.0,66.81,4.73,9.59,7.16
PB,SANTA INÊS,6004.0,89.28,11.16,3.13,7.15
RS,GRAMADO DOS LOUREIROS,3694.0,58.49,9.26,5.04,7.15
PI,SÃO FÉLIX DO PIAUÍ,5988.0,70.59,6.45,7.85,7.15
BA,JAGUAQUARA,53534.0,65.28,10.98,3.3,7.14
AL,COITÉ DO NÓIA,13792.0,71.88,8.67,5.58,7.13
TO,CARRASCO BONITO,4864.0,63.89,10.77,3.5,7.13
MG,FRUTA DE LEITE,6384.0,82.51,2.29,11.94,7.11
PE,SALGADINHO,10864.0,72.26,9.22,4.99,7.11
MG,OLIVEIRA FORTES,4022.0,64.79,6.76,7.46,7.11
MG,RIO PARDO DE MINAS,31410.0,55.88,1.3,12.91,7.1
PI,SÃO GONÇALO DO GURGUÉIA,4200.0,77.02,8.67,5.52,7.1
PB,PILÕES,10818.0,73.94,8.58,5.6,7.09
SE,ILHA DAS FLORES,11324.0,71.13,7.49,6.69,7.09
MG,ITUTINGA,5962.0,54.77,5.64,8.52,7.08
PR,ITAÚNA DO SUL,4434.0,59.07,8.98,5.19,7.08
PB,ARARA,13680.0,72.56,8.25,5.89,7.07
PE,GARANHUNS,157120.0,69.69,10.15,3.99,7.07
