SG_UF,NM_MUNICIPIO,num_eleitores,perc_lula,perc_votos_mulheres_fed,perc_votos_mulheres_est,perc_votos_mulheres_total
CE,TABULEIRO DO NORTE,40432.0,75.15,10.06,12.97,11.52
BA,SÍTIO DO MATO,16668.0,74.12,10.94,12.1,11.52
RN,RIACHUELO,10692.0,60.96,15.11,7.93,11.52
MA,LAGOA DO MATO,12242.0,84.02,11.52,11.49,11.5
RN,TIMBAÚBA DOS BATISTAS,4326.0,57.71,14.56,8.41,11.49
RN,NOVA CRUZ,42572.0,64.26,12.72,10.24,11.48
PR,SANTA INÊS,2860.0,62.55,18.81,4.13,11.47
PI,ÁGUA BRANCA,25342.0,69.73,10.88,12.07,11.47
MG,RITÁPOLIS,7508.0,59.61,10.1,12.84,11.47
BA,PIRIPÁ,12928.0,73.97,6.19,16.72,11.46
BA,BARROCAS,22564.0,81.83,8.62,14.27,11.45
CE,PENAFORTE,13402.0,81.88,20.36,2.54,11.45
TO,AGUIARNÓPOLIS,6124.0,64.16,21.0,1.86,11.43
PE,ITAQUITINGA,21576.0,66.1,13.94,8.91,11.42
AM,CAAPIRANGA,14248.0,66.82,1.46,21.36,11.41
RN,SANTO ANTÔNIO,29914.0,66.33,9.94,12.87,11.4
CE,ITAIÇABA,11754.0,67.06,18.31,4.48,11.39
RN,SÃO JOSÉ DO CAMPESTRE,16622.0,67.05,10.55,12.2,11.38
MA,PARNARAMA,37832.0,84.5,5.98,16.78,11.38
PI,HUGO NAPOLEÃO,6986.0,71.2,18.27,4.47,11.37
RN,SERRINHA DOS PINTOS,6848.0,81.78,20.09,2.63,11.36
MG,ANDRELÂNDIA,14752.0,50.18,5.95,16.76,11.35
SP,IPORANGA,3891.0,52.65,8.34,14.51,11.33
RS,CAIBATÉ,6724.0,53.14,9.16,13.5,11.33
SE,DIVINA PASTORA,6478.0,71.65,6.95,15.68,11.32
RS,ENCRUZILHADA DO SUL,30304.0,54.1,9.15,13.43,11.29
AL,CAJUEIRO,21010.0,68.2,3.22,19.33,11.28
RJ,LAJE DO MURIAÉ,11378.0,50.7,11.3,11.23,11.27
AL,POÇO DAS TRINCHEIRAS,15906.0,84.67,1.32,21.21,11.27
PR,NOVA TEBAS,9346.0,56.8,20.14,2.38,11.26
RS,ROSÁRIO DO SUL,47390.0,50.47,12.64,9.85,11.24
CE,TRAIRI,75790.0,70.13,15.25,7.19,11.22
MG,SABINÓPOLIS,16644.0,72.64,8.41,14.0,11.21
ES,PEDRO CANÁRIO,26414.0,53.59,9.74,12.68,11.21
AL,CRAÍBAS,30702.0,75.02,4.27,18.12,11.19
GO,PROFESSOR JAMIL,4768.0,52.73,17.11,5.24,11.18
PR,OURIZONA,4644.0,57.77,18.91,3.45,11.18
GO,SÃO SIMÃO,20626.0,52.7,15.86,6.51,11.18
MA,PAULINO NEVES,22616.0,81.96,13.35,8.98,11.17
BA,FEIRA DE SANTANA,721466.0,59.3,14.83,7.52,11.17
BA,CAMACÃ,27574.0,55.68,16.7,5.61,11.16
AL,IBATEGUARA,16660.0,58.75,0.88,21.43,11.15
PI,SEBASTIÃO LEAL,6850.0,52.24,1.78,20.53,11.15
RS,ITATIBA DO SUL,5952.0,58.66,12.74,9.54,11.14
MG,NACIP RAYDAN,3602.0,64.27,2.28,19.99,11.13
RN,LAGOA DE PEDRAS,11884.0,67.31,12.15,10.08,11.12
MG,VIÇOSA,96560.0,62.92,13.37,8.84,11.1
TO,AXIXÁ DO TOCANTINS,14244.0,54.34,18.86,3.34,11.1
TO,ARRAIAS,11910.0,67.02,11.12,11.02,11.07
BA,SANTA BÁRBARA,31648.0,74.76,12.7,9.45,11.07
PB,SOSSÊGO,5512.0,83.43,20.07,2.07,11.07
SC,CALMON,4876.0,61.5,9.93,12.18,11.05
AM,LÁBREA,38346.0,62.75,5.73,16.35,11.04
PI,NOSSA SENHORA DOS REMÉDIOS,13532.0,75.64,6.21,15.84,11.03
AM,ATALAIA DO NORTE,12388.0,69.5,6.18,15.87,11.03
AL,COQUEIRO SECO,8410.0,54.98,4.73,17.34,11.03
PI,MARCOLÂNDIA,12710.0,77.13,17.97,4.08,11.02
AM,MANICORÉ,49076.0,60.64,3.38,18.63,11.0
MG,COIMBRA,10574.0,55.45,7.26,14.72,10.99
BA,BAIXA GRANDE,23224.0,69.4,8.88,13.11,10.99
