SG_UF,NM_MUNICIPIO,num_eleitores,perc_lula,perc_votos_mulheres_fed,perc_votos_mulheres_est,perc_votos_mulheres_total
SC,BOTUVERÁ,7656.0,17.01,13.58,6.06,9.82
RJ,PATY DO ALFERES,36460.0,34.9,15.86,3.78,9.82
MG,COROMANDEL,36878.0,36.19,8.96,10.68,9.82
MG,SÃO SEBASTIÃO DO RIO VERDE,3484.0,32.13,2.87,16.76,9.82
RS,CANGUÇU,70064.0,36.67,9.99,9.63,9.81
TO,SANTA TEREZA DO TOCANTINS,4932.0,42.95,4.5,15.13,9.81
SP,BRAGANÇA PAULISTA,193269.0,28.78,13.57,6.39,9.81
SP,SANTANA DA PONTE PENSA,2090.0,40.98,8.75,10.88,9.81
RS,MOSTARDAS,14176.0,38.61,11.05,8.55,9.8
PR,GUARATUBA,43908.0,27.52,9.46,10.11,9.79
SC,AGROLÂNDIA,13578.0,15.88,14.94,4.63,9.78
RJ,ITAOCARA,31818.0,32.34,9.41,10.16,9.78
MS,LAGUNA CARAPÃ,8766.0,34.09,8.58,10.95,9.77
PA,BANNACH,4426.0,32.94,7.37,12.16,9.76
RS,ACEGUÁ,6080.0,27.68,3.82,15.69,9.75
MG,CÓRREGO DANTA,4558.0,47.25,4.96,14.48,9.72
MG,PIRAJUBA,6756.0,49.16,5.8,13.65,9.72
RS,DOM PEDRITO,44200.0,48.39,8.16,11.26,9.71
PR,ITAMBÉ,8418.0,33.81,7.13,12.28,9.71
SP,VIRADOURO,18060.0,30.07,7.35,12.55,9.71
SP,SETE BARRAS,12830.0,32.83,8.32,11.2,9.71
MG,MANHUAÇU,93476.0,39.09,12.61,6.8,9.71
SP,PORTO FERREIRA,56262.0,29.68,9.5,9.87,9.69
RS,ITAARA,7104.0,39.73,7.97,11.4,9.68
RS,MARQUES DE SOUZA,5824.0,28.67,4.09,15.28,9.68
MS,CHAPADÃO DO SUL,31142.0,26.36,9.27,10.09,9.68
SP,NOVAIS,5676.0,31.1,5.1,14.21,9.67
RS,TERRA DE AREIA,12358.0,34.76,9.71,9.63,9.67
RS,TUPANCI DO SUL,2420.0,31.89,10.83,8.51,9.67
RS,FAGUNDES VARELA,4138.0,17.4,5.12,14.21,9.67
GO,ITUMBIARA,113252.0,36.24,15.61,3.72,9.67
PR,ITAMBARACÁ,7712.0,28.2,17.45,1.89,9.67
TO,SILVANÓPOLIS,7274.0,49.89,6.21,13.12,9.66
RS,ITAQUI,39822.0,43.22,6.63,12.68,9.66
SP,INÚBIA PAULISTA,4433.0,24.1,6.58,12.96,9.65
SP,NATIVIDADE DA SERRA,7831.0,30.33,6.49,12.89,9.64
RS,DERRUBADAS,4484.0,44.46,3.57,15.7,9.63
SP,ANDRADINA,61987.0,32.11,10.18,9.09,9.62
RS,CAPELA DE SANTANA,13186.0,41.94,4.37,14.86,9.62
RJ,SAPUCAIA,25896.0,40.63,6.6,12.64,9.62
RS,CORONEL PILAR,2538.0,14.47,3.07,16.15,9.61
RS,AJURICABA,9982.0,25.29,6.25,12.96,9.61
TO,GURUPI,93176.0,36.0,13.7,5.5,9.6
MG,UBAPORANGA,15848.0,36.86,8.83,10.36,9.6
SP,IEPÊ,8471.0,39.03,6.56,12.56,9.59
RS,BOSSOROCA,8154.0,48.86,6.33,12.85,9.59
MS,BODOQUENA,10256.0,36.99,12.5,6.69,9.59
RS,SANTO ANTÔNIO DO PLANALTO,3570.0,35.18,4.43,14.73,9.58
MG,GOVERNADOR VALADARES,305918.0,32.64,3.97,15.18,9.58
MS,ARAL MOREIRA,12280.0,38.73,11.69,7.46,9.58
AM,SÃO SEBASTIÃO DO UATUMÃ,11274.0,41.55,3.32,15.84,9.58
SP,FERNÃO,2216.0,30.47,8.09,11.06,9.57
RS,MATA,6546.0,44.58,2.99,16.13,9.56
ES,JOÃO NEIVA,20410.0,37.55,11.46,7.67,9.56
PA,CUMARU DO NORTE,10828.0,26.53,6.7,12.39,9.55
RJ,DUAS BARRAS,16096.0,48.0,8.64,10.45,9.54
RS,PORTO XAVIER,13044.0,36.59,3.96,15.13,9.54
PR,IVAÍ,17626.0,31.34,7.35,11.71,9.53
MT,MARCELÂNDIA,12424.0,17.64,13.86,5.18,9.52
MT,COMODORO,20214.0,24.99,12.17,6.88,9.52
MG,ITABIRITO,69124.0,49.73,9.36,9.69,9.52
SP,PIRATININGA,13483.0,24.26,9.97,9.14,9.52
RS,BARÃO DO TRIUNFO,7604.0,38.02,7.21,11.78,9.5
RS,ALTO FELIZ,4662.0,28.08,12.7,6.31,9.5
ES,SÃO JOSÉ DO CALÇADO,13948.0,43.38,14.11,4.86,9.49
PR,BALSA NOVA,19122.0,34.98,9.66,9.32,9.49
MS,RIO NEGRO,6092.0,43.04,9.03,9.95,9.49
RS,NOVA BRÉSCIA,4672.0,22.43,6.81,12.16,9.48
MG,IPABA,20142.0,46.69,14.46,4.51,9.48
MS,SÃO GABRIEL DO OESTE,33028.0,26.86,12.29,6.64,9.47
MG,CÓRREGO FUNDO,8586.0,28.79,10.48,8.39,9.43
GO,MOIPORÁ,3532.0,33.44,13.87,4.98,9.43
PR,SANTA TEREZINHA DE ITAIPU,29612.0,23.08,8.15,10.68,9.42
TO,ARAGUAÇU,9998.0,25.16,14.14,4.7,9.42
ES,LINHARES,181694.0,33.74,13.93,4.91,9.42
SP,FERNANDO PRESTES,7175.0,30.91,4.38,14.84,9.42
PR,CAFEARA,3750.0,46.09,16.85,1.97,9.41
PR,JACAREZINHO,47196.0,45.47,14.57,4.22,9.4
RS,CONSTANTINA,13486.0,32.11,7.09,11.7,9.39
PR,TOLEDO,170836.0,27.1,7.02,11.73,9.38
MG,CARATINGA,96532.0,41.13,7.22,11.53,9.38
SP,CAMPOS NOVOS PAULISTA,5582.0,30.33,11.44,7.36,9.37
SP,MOMBUCA,4715.0,35.69,7.99,10.62,9.33
PR,COLORADO,29634.0,41.27,12.72,5.94,9.33
RS,SÃO JOSÉ DO SUL,3474.0,26.64,4.78,13.87,9.33
MT,PLANALTO DA SERRA,4060.0,42.09,10.64,8.03,9.33
SP,SÃO MANUEL,42325.0,30.86,6.76,11.89,9.33
RS,LAGOA DOS TRÊS CANTOS,2764.0,25.26,4.85,13.82,9.33
ES,ATÍLIO VIVÁCQUA,14400.0,37.43,15.72,2.9,9.31
PR,MAUÁ DA SERRA,11880.0,43.71,14.07,4.55,9.31
MT,PORTO ESPERIDIÃO,11198.0,32.52,13.79,4.8,9.3
MG,CARANGOLA,37784.0,47.17,3.83,14.74,9.28
MG,CAMBUQUIRA,15622.0,43.54,6.67,11.89,9.28
SP,MIRACATU,21223.0,35.69,8.99,9.57,9.28
GO,GOIATUBA,42376.0,32.6,14.81,3.74,9.28
GO,ITABERAÍ,48718.0,38.86,13.99,4.57,9.28
SC,ATALANTA,5022.0,18.14,7.69,10.87,9.28
GO,NOVO BRASIL,5414.0,36.92,14.74,3.8,9.27
GO,NIQUELÂNDIA,41314.0,41.67,12.78,5.73,9.26
RS,AUGUSTO PESTANA,10066.0,24.4,3.7,14.8,9.25
MT,MIRASSOL D OESTE,29412.0,28.87,15.44,3.05,9.24
SP,TARUMÃ,17070.0,36.5,5.39,13.11,9.24
SP,TUIUTI,7545.0,27.99,10.78,7.82,9.24
SP,NUPORANGA,7373.0,31.73,8.44,10.27,9.24
MG,OURO BRANCO,51152.0,49.49,7.27,11.18,9.22
MT,VERA,10614.0,25.67,13.19,5.26,9.22
PR,TIJUCAS DO SUL,19772.0,40.51,10.81,7.63,9.22
RS,QUEVEDOS,3822.0,47.34,12.3,6.12,9.21
SP,MARAPOAMA,3770.0,23.83,6.99,11.72,9.2
MG,TRÊS CORAÇÕES,88916.0,35.43,6.0,12.4,9.2
MT,CURVELÂNDIA,6792.0,37.03,9.1,9.28,9.19
SP,TORRINHA,9948.0,28.53,13.26,4.66,9.18
RS,ERVAL SECO,9262.0,44.65,2.98,15.35,9.17
MG,MATOZINHOS,48218.0,44.16,12.2,6.12,9.16
MG,ÁGUA COMPRIDA,3630.0,34.94,11.18,7.11,9.15
MG,DELFINÓPOLIS,9144.0,41.96,13.23,5.07,9.15
SP,SANTA MARIA DA SERRA,5260.0,33.25,10.46,7.78,9.14
RS,IGREJINHA,45572.0,30.28,8.4,9.88,9.14
SP,SANTA BÁRBARA D OESTE,209845.0,29.33,8.67,9.63,9.14
MS,ANAURILÂNDIA,9400.0,46.75,8.38,9.87,9.13
RS,CRUZ ALTA,73458.0,41.08,6.71,11.55,9.13
SC,PRESIDENTE NEREU,3570.0,23.3,11.76,6.5,9.13
SP,SALMOURÃO,5631.0,34.9,4.56,13.96,9.13
SP,LAVRINHAS,9126.0,46.0,7.8,10.48,9.12
SP,ARCO-ÍRIS,2821.0,32.19,4.2,14.5,9.11
SP,TAQUARITUBA,24193.0,40.32,8.94,9.27,9.1
RS,SÃO JOSÉ DO HORTÊNCIO,6338.0,23.04,6.0,12.21,9.1
RS,NOVA ROMA DO SUL,5362.0,25.69,13.39,4.81,9.1
SP,SALES OLIVEIRA,11955.0,25.36,9.47,8.66,9.09
PA,NOVO PROGRESSO,32744.0,14.42,6.59,11.59,9.09
SC,TAIÓ,23952.0,15.19,14.49,3.68,9.08
TO,PEDRO AFONSO,15906.0,45.66,9.52,8.64,9.08
PA,CANAÃ DOS CARAJÁS,73024.0,32.5,13.75,4.38,9.07
MG,VÁRZEA DA PALMA,39480.0,48.55,13.05,5.07,9.06
RS,CAIÇARA,7256.0,34.74,2.98,15.13,9.05
MG,BONFIM,11130.0,42.14,6.63,11.46,9.05
RS,SÃO PAULO DAS MISSÕES,8814.0,42.24,7.35,10.76,9.05
MG,INHAÚMA,9238.0,45.69,4.07,13.99,9.03
SC,PETROLÂNDIA,9402.0,22.11,10.25,7.81,9.03
MG,ESPERA FELIZ,27788.0,47.12,3.66,14.39,9.03
MT,SANTO ANTÔNIO DO LEVERGER,26294.0,45.35,11.86,6.21,9.03
MG,PIRAPORA,62250.0,39.9,8.15,9.9,9.02
GO,ITAPACI,23686.0,43.85,14.51,3.51,9.01
MG,SÃO TIAGO,14860.0,48.15,6.02,11.98,9.0
PR,MARECHAL CÂNDIDO RONDON,66194.0,22.74,14.44,3.57,9.0
AM,APUÍ,15880.0,31.82,4.23,13.77,9.0
PR,SANTA TEREZA DO OESTE,15162.0,31.74,14.38,3.61,9.0
GO,PARAÚNA,13232.0,35.49,11.71,6.27,8.99
RS,RONDINHA,7916.0,42.68,3.21,14.75,8.98
RS,NOVO MACHADO,5356.0,32.2,1.76,16.21,8.98
SP,ARANDU,8201.0,37.66,6.54,11.48,8.97
SP,NOVA CANAÃ PAULISTA,2743.0,38.52,4.96,12.85,8.97
SP,FRANCO DA ROCHA,139895.0,49.44,8.39,9.5,8.97
SC,LAURENTINO,10214.0,25.17,13.35,4.56,8.96
ES,MANTENÓPOLIS,15082.0,40.98,12.33,5.6,8.96
PR,NOVA SANTA ROSA,11854.0,10.44,15.18,2.73,8.96
ES,MARECHAL FLORIANO,21956.0,30.15,10.38,7.53,8.95
GO,VICENTINÓPOLIS,10366.0,41.73,16.03,1.87,8.95
RJ,TRAJANO DE MORAES,14252.0,49.7,12.1,5.8,8.95
MG,GUAXUPÉ,59634.0,45.51,7.24,10.63,8.94
AM,MANACAPURU,115132.0,49.53,5.19,12.66,8.92
SP,SERRA NEGRA,30410.0,28.49,12.34,5.86,8.91
MS,CAMAPUÃ,17154.0,37.63,12.2,5.6,8.9
PR,ABATIÁ,9114.0,42.7,6.36,11.41,8.89
SP,SANTA FÉ DO SUL,33679.0,27.51,8.07,9.71,8.87
PA,SAPUCAIA,7428.0,46.57,15.11,2.64,8.87
PR,SANTA FÉ,14368.0,34.22,9.26,8.49,8.87
MG,SOLEDADE DE MINAS,8018.0,36.87,6.16,11.57,8.87
RS,SANANDUVA,22276.0,22.97,6.75,10.97,8.86
RS,CORONEL BARROS,4440.0,34.61,2.93,14.77,8.85
SP,TIMBURI,3458.0,41.87,7.39,10.36,8.85
SP,CÁSSIA DOS COQUEIROS,3459.0,38.92,9.9,7.67,8.85
RS,NOVO BARREIRO,6306.0,41.96,3.39,14.27,8.83
MS,BANDEIRANTES,9586.0,45.92,10.49,7.16,8.83
