grupo,n_municipios,media_perc_mulheres_fed,mediana_perc_mulheres_fed,media_perc_mulheres_est,mediana_perc_mulheres_est,media_perc_mulheres_total,mediana_perc_mulheres_total,moda_perc_mulheres_total,desvio_padrao_total
Menos_50%_Lula,2858,14.65,11.17,13.44,11.5,14.04,12.72,9.28,7.35
Mais_50%_Lula,2712,12.87,8.7,13.7,9.33,13.29,11.0,5.57,8.87
